typeid	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
238826	C	C3k/C3wy/C3wu/C50a	None	5	5	C3k/C3wy/C3wu/C50a-C3	37/780799/780832/20940-32	0.338[0.168]/0.220[0.103]/0.206[0.116]/0.125[0.109]-0.111[0.045]
238827	C	C3k/C50b	None	5	5	C3k/C50b-C50a-C3ba-C50q-C3-C50f	37/20905-20940-72-21168-32-35	0.582[0.226]/0.150[0.269]-0.082[0.043]-0.076[0.032]-0.050[0.020]-0.039[0.020]-0.021[0.007]
238828	C	C3wu	None	4	4	C3wu-C3k-C3wy-C3ba-C50a	780832-37-780799-72-20940	0.360[0.019]-0.245[0.032]-0.192[0.033]-0.117[0.024]-0.086[0.005]
237444	C	C1	None	3	27	C1/C42.2	2-Jan	0.592[0.061]-0.408[0.061]
237703	C	C1	None	1	16	C1d/C1-C42.2	2-1-106	0.515[nan]-0.268[nan]-0.217[nan]
237979	C	C1	None	1	26	C8/C8a/C1-C42.2-C42e-C8e-C42ae	2-37493-37489-1-28943-62802-43057	0.361[nan]-0.164[nan]-0.162[nan]-0.148[nan]-0.094[nan]-0.036[nan]-0.036[nan]
237623	C	C50b	None	1	89	C50b/C50p-C3-C50f-C3bm-C3dt	20905-20930-32-35-20922-20974	0.583[nan]-0.229[nan]-0.105[nan]-0.042[nan]-0.029[nan]-0.011[nan]
238809	C	C3k	None	1	1	C3k-C3ba-C50a-C50q-C50c	37-72-20940-21168-37038	0.507[nan]-0.179[nan]-0.126[nan]-0.109[nan]-0.080[nan]
238958	C	C3k	None	1	23	C3k	37	1.000[nan]
238715	C	C1	None	1	5	C8/C1	2-37489	0.524[nan]-0.476[nan]
239171	D	D6	None	1	48	D1/D6/D4-D2.2-D2	933-854-853-855-10403	0.365[nan]-0.286[nan]-0.241[nan]-0.090[nan]-0.018[nan]
239195	D	D6	None	1	11	D1/D4/D6/D2	933-853-854-855	0.380[nan]-0.282[nan]-0.261[nan]-0.077[nan]
